task_id,difficulty,n,arrival_sim,start_sim,end_sim,status,cost,real_duration_sec,waiting_time_sec,time_in_system_sec
50,easy,11,09:33:49,09:33:50,09:34:08,COMPLETED,24840.0,0.3036,"1.58, f{(task.end_time - task.arrival_time_offset):.2f}"
36,easy,12,09:37:14,09:37:16,09:37:46,COMPLETED,24415.0,0.5063,"2.22, f{(task.end_time - task.arrival_time_offset):.2f}"
57,easy,12,09:38:10,09:38:10,09:38:41,COMPLETED,28599.0,0.5086,"0.78, f{(task.end_time - task.arrival_time_offset):.2f}"
49,easy,12,09:43:00,09:43:01,09:43:13,COMPLETED,31310.0,0.2033,"1.26, f{(task.end_time - task.arrival_time_offset):.2f}"
39,medium,13,09:42:29,09:42:30,09:44:26,COMPLETED,26395.0,1.9180,"1.95, f{(task.end_time - task.arrival_time_offset):.2f}"
28,medium,14,08:35:16,08:35:17,09:48:46,COMPLETED,32826.0,73.4920,"1.01, f{(task.end_time - task.arrival_time_offset):.2f}"
37,easy,12,09:53:36,09:53:36,09:54:25,COMPLETED,27305.0,0.8074,"0.69, f{(task.end_time - task.arrival_time_offset):.2f}"
54,easy,11,09:55:39,09:55:43,09:55:55,COMPLETED,25645.0,0.2029,"4.67, f{(task.end_time - task.arrival_time_offset):.2f}"
55,easy,12,09:56:29,09:56:32,09:58:27,COMPLETED,32297.0,1.9223,"3.18, f{(task.end_time - task.arrival_time_offset):.2f}"
47,easy,11,09:58:24,09:58:27,09:58:45,COMPLETED,31809.0,0.3046,"3.44, f{(task.end_time - task.arrival_time_offset):.2f}"
52,easy,11,09:58:53,09:58:57,09:59:09,COMPLETED,26963.0,0.2027,"4.79, f{(task.end_time - task.arrival_time_offset):.2f}"
33,easy,12,09:46:09,09:46:14,10:00:46,COMPLETED,37165.0,14.5312,"5.93, f{(task.end_time - task.arrival_time_offset):.2f}"
86,easy,11,10:01:46,10:01:47,10:01:59,COMPLETED,24967.0,0.2038,"1.32, f{(task.end_time - task.arrival_time_offset):.2f}"
66,easy,11,10:03:09,10:03:12,10:03:24,COMPLETED,30320.0,0.2027,"3.00, f{(task.end_time - task.arrival_time_offset):.2f}"
62,easy,12,10:03:59,10:04:00,10:04:24,COMPLETED,18491.0,0.4043,"1.37, f{(task.end_time - task.arrival_time_offset):.2f}"
21,medium,14,08:46:56,08:46:57,10:06:13,COMPLETED,29868.0,79.2567,"1.99, f{(task.end_time - task.arrival_time_offset):.2f}"
70,medium,13,10:06:07,10:06:07,10:07:19,COMPLETED,32094.0,1.2118,"0.25, f{(task.end_time - task.arrival_time_offset):.2f}"
61,easy,12,10:06:48,10:06:49,10:08:50,COMPLETED,37442.0,2.0160,"1.64, f{(task.end_time - task.arrival_time_offset):.2f}"
78,easy,11,10:18:59,10:19:00,10:19:06,COMPLETED,24453.0,0.1020,"1.49, f{(task.end_time - task.arrival_time_offset):.2f}"
79,easy,12,10:20:47,10:20:49,10:21:01,COMPLETED,27292.0,0.2028,"2.33, f{(task.end_time - task.arrival_time_offset):.2f}"
76,easy,12,10:20:23,10:20:25,10:21:43,COMPLETED,31307.0,1.3123,"2.13, f{(task.end_time - task.arrival_time_offset):.2f}"
83,easy,11,10:23:13,10:23:14,10:23:26,COMPLETED,27916.0,0.2043,"1.58, f{(task.end_time - task.arrival_time_offset):.2f}"
67,easy,12,10:23:52,10:23:57,10:24:57,COMPLETED,24110.0,1.0112,"5.07, f{(task.end_time - task.arrival_time_offset):.2f}"
68,easy,11,10:26:07,10:26:10,10:26:22,COMPLETED,27809.0,0.2039,"3.39, f{(task.end_time - task.arrival_time_offset):.2f}"
