task_id,difficulty,n,arrival_sim,start_sim,end_sim,status,cost,real_duration_sec
70,easy,11,11:18:19,11:18:22,11:19:20,COMPLETED,25456.24720465293,0.9606
66,easy,11,11:19:16,11:19:26,11:19:42,COMPLETED,26051.163119453056,0.2644
64,medium,13,11:23:22,11:23:24,11:25:26,COMPLETED,30710.0,2.0295
65,easy,12,11:24:32,11:25:32,11:26:01,COMPLETED,31958.0,0.4845
74,medium,14,11:29:42,11:29:44,11:32:33,COMPLETED,36072.0,2.8322
67,easy,12,11:34:56,11:34:58,11:36:14,COMPLETED,29643.0,1.2832
77,easy,12,11:39:54,11:39:57,11:41:20,COMPLETED,24935.0,1.3923
78,hard,15,11:41:07,11:41:27,11:44:10,COMPLETED,25766.0,2.7398
68,easy,12,11:41:50,11:44:17,11:45:15,COMPLETED,26130.0,0.9720
61,easy,12,11:43:05,11:45:21,11:45:55,COMPLETED,28439.0,0.5735
79,medium,13,11:47:09,11:47:14,11:49:58,COMPLETED,26657.0,2.7370
69,medium,14,11:49:30,11:50:04,11:52:12,COMPLETED,28724.0,2.1389
63,medium,14,11:51:11,11:52:19,11:55:25,COMPLETED,28910.0,3.1141
62,hard,15,11:54:31,11:55:31,11:59:09,COMPLETED,33604.76299853924,3.6269
71,easy,12,11:48:21,11:59:15,12:00:32,COMPLETED,29841.0,1.2787
75,easy,12,11:53:05,12:00:38,12:01:19,COMPLETED,25583.0,0.6917
72,easy,11,11:59:49,12:01:25,12:01:35,COMPLETED,30567.260487587257,0.1728
88,medium,13,12:02:57,12:03:00,12:05:00,COMPLETED,31224.0,2.0131
95,medium,13,12:05:21,12:05:25,12:06:06,COMPLETED,24532.081838807047,0.6940
90,medium,13,12:08:02,12:08:07,12:09:56,COMPLETED,25189.067962380865,1.8331
81,medium,13,12:09:25,12:10:03,12:12:08,COMPLETED,38293.0,2.0960
93,easy,11,12:09:24,12:12:14,12:12:42,COMPLETED,30911.0,0.4647
82,medium,14,12:12:30,12:12:48,12:15:12,COMPLETED,36178.0,2.4079
86,easy,12,12:15:09,12:15:19,12:16:42,COMPLETED,25970.0,1.3847
97,easy,12,12:16:51,12:16:54,12:17:22,COMPLETED,27908.300224530663,0.4731
92,medium,14,12:22:09,12:22:11,12:24:59,COMPLETED,28813.0,2.8088
