test_id,n,city_index,cost,syncs,duration_sec,machine_info
Test 7,15,5-13,33374.0,0,0.1427,Cluster multithread bt compile
Test 7,15,5-14,34551.0,0,0.0963,Cluster multithread bt compile
Test 7,15,6-1,34551.0,0,0.1469,Cluster multithread bt compile
Test 7,15,6-2,33374.0,0,0.3014,Cluster multithread bt compile
Test 7,15,6-3,33630.39367747295,0,0.9001,Cluster multithread bt compile
Test 7,15,6-4,34551.0,0,0.1770,Cluster multithread bt compile
Test 7,15,6-5,34551.0,0,0.0297,Cluster multithread bt compile
Test 7,15,6-7,32459.0,0,0.0001,Cluster multithread bt compile
Test 7,15,6-8,32459.0,0,0.0003,Cluster multithread bt compile
Test 7,15,6-9,34551.0,0,0.4473,Cluster multithread bt compile
Test 7,15,6-10,32459.0,0,0.0523,Cluster multithread bt compile
Test 7,15,6-11,32459.0,0,0.0008,Cluster multithread bt compile
Test 7,15,6-12,34551.0,0,0.1400,Cluster multithread bt compile
Test 7,15,6-13,32459.0,0,0.0015,Cluster multithread bt compile
Test 7,15,6-14,32459.0,0,0.2310,Cluster multithread bt compile
Test 7,15,7-1,34551.0,0,0.0000,Cluster multithread bt compile
Test 7,15,7-2,34551.0,0,0.0004,Cluster multithread bt compile
Test 7,15,7-3,34551.0,0,0.0000,Cluster multithread bt compile
Test 7,15,7-4,34551.0,0,0.0009,Cluster multithread bt compile
Test 7,15,7-5,34551.0,0,0.0000,Cluster multithread bt compile
Test 7,15,7-6,34551.0,0,0.0000,Cluster multithread bt compile
Test 7,15,7-8,34551.0,0,0.0000,Cluster multithread bt compile
Test 7,15,7-9,34551.0,0,0.0000,Cluster multithread bt compile
Test 7,15,7-10,34205.0,0,0.0000,Cluster multithread bt compile
Test 7,15,7-11,33374.0,0,0.0010,Cluster multithread bt compile
Test 7,15,7-12,33374.0,0,0.0001,Cluster multithread bt compile
Test 7,15,7-13,33374.0,0,0.0000,Cluster multithread bt compile
Test 7,15,7-14,33374.0,0,0.0000,Cluster multithread bt compile
Test 7,15,8-1,33374.0,0,0.0033,Cluster multithread bt compile
Test 7,15,8-2,33374.0,0,0.0016,Cluster multithread bt compile
Test 7,15,8-3,33374.0,0,0.0005,Cluster multithread bt compile
Test 7,15,8-4,33374.0,0,0.1599,Cluster multithread bt compile
Test 7,15,8-5,33374.0,0,0.0301,Cluster multithread bt compile
Test 7,15,8-6,33374.0,0,0.0000,Cluster multithread bt compile
Test 7,15,8-7,33374.0,0,0.0010,Cluster multithread bt compile
Test 7,15,8-9,33374.0,0,0.0001,Cluster multithread bt compile
Test 7,15,8-10,33374.0,0,0.0000,Cluster multithread bt compile
Test 7,15,8-11,33374.0,0,0.0508,Cluster multithread bt compile
Test 7,15,8-12,33374.0,0,0.0001,Cluster multithread bt compile
Test 7,15,8-13,33374.0,0,0.0000,Cluster multithread bt compile
Test 7,15,8-14,33374.0,0,0.0000,Cluster multithread bt compile
Test 7,15,9-1,32830.58300163556,0,0.5212,Cluster multithread bt compile
Test 7,15,9-2,33374.0,0,0.1817,Cluster multithread bt compile
Test 7,15,9-3,32459.828342034798,0,0.5337,Cluster multithread bt compile
Test 7,15,9-4,33374.0,0,0.2121,Cluster multithread bt compile
Test 7,15,9-5,33374.0,0,0.2045,Cluster multithread bt compile
Test 7,15,9-6,33374.0,0,0.7336,Cluster multithread bt compile
Test 7,15,9-7,33374.0,0,0.0071,Cluster multithread bt compile
Test 7,15,9-8,33374.0,0,0.0368,Cluster multithread bt compile
Test 7,15,9-10,32519.987683689782,0,0.7911,Cluster multithread bt compile
Test 7,15,9-11,33374.0,0,0.0301,Cluster multithread bt compile
Test 7,15,9-12,33374.0,0,0.0635,Cluster multithread bt compile
Test 7,15,9-13,33374.0,0,0.0797,Cluster multithread bt compile
Test 7,15,9-14,33131.524687799196,0,1.0849,Cluster multithread bt compile
Test 7,15,10-1,33374.0,0,0.3914,Cluster multithread bt compile
Test 7,15,10-2,33374.0,0,0.1806,Cluster multithread bt compile
Test 7,15,10-3,33131.524687799196,0,0.6638,Cluster multithread bt compile
Test 7,15,10-4,33374.0,0,0.0998,Cluster multithread bt compile
Test 7,15,10-5,33374.0,0,0.1916,Cluster multithread bt compile
Test 7,15,10-6,33374.0,0,0.8604,Cluster multithread bt compile
Test 7,15,10-7,33374.0,0,0.0011,Cluster multithread bt compile
Test 7,15,10-8,33015.0,0,0.0189,Cluster multithread bt compile
Test 7,15,10-9,32584.93627557372,0,0.6542,Cluster multithread bt compile
Test 7,15,10-11,33015.0,0,0.0091,Cluster multithread bt compile
Test 7,15,10-12,33015.0,0,0.0175,Cluster multithread bt compile
Test 7,15,10-13,33015.0,0,0.0660,Cluster multithread bt compile
Test 7,15,10-14,32459.828342034794,0,0.7830,Cluster multithread bt compile
Test 7,15,11-1,32925.0,0,0.0000,Cluster multithread bt compile
Test 7,15,11-2,32925.0,0,0.0014,Cluster multithread bt compile
Test 7,15,11-3,32925.0,0,0.0001,Cluster multithread bt compile
Test 7,15,11-4,32830.0,0,0.0148,Cluster multithread bt compile
Test 7,15,11-5,32830.0,0,0.0000,Cluster multithread bt compile
Test 7,15,11-6,32830.0,0,0.0000,Cluster multithread bt compile
Test 7,15,11-7,32830.0,0,0.0219,Cluster multithread bt compile
Test 7,15,11-8,32830.0,0,0.0019,Cluster multithread bt compile
Test 7,15,11-9,32830.0,0,0.0000,Cluster multithread bt compile
Test 7,15,11-10,32519.0,0,0.0000,Cluster multithread bt compile
Test 7,15,11-12,32519.0,0,0.0003,Cluster multithread bt compile
Test 7,15,11-13,32519.0,0,0.0000,Cluster multithread bt compile
Test 7,15,11-14,32519.0,0,0.0000,Cluster multithread bt compile
Test 7,15,12-1,32519.0,0,0.0000,Cluster multithread bt compile
Test 7,15,12-2,32519.0,0,0.0146,Cluster multithread bt compile
Test 7,15,12-3,32519.0,0,0.0007,Cluster multithread bt compile
Test 7,15,12-4,32519.0,0,0.0013,Cluster multithread bt compile
Test 7,15,12-5,32519.0,0,0.0000,Cluster multithread bt compile
Test 7,15,12-6,32519.0,0,0.0000,Cluster multithread bt compile
Test 7,15,12-7,32519.0,0,0.0015,Cluster multithread bt compile
Test 7,15,12-8,32519.0,0,0.0000,Cluster multithread bt compile
Test 7,15,12-9,32519.0,0,0.0000,Cluster multithread bt compile
Test 7,15,12-10,32519.0,0,0.0000,Cluster multithread bt compile
Test 7,15,12-11,32519.0,0,0.0010,Cluster multithread bt compile
